ds,y
2016-01-04,36.917144775390625
2016-01-05,36.95397186279297
2016-01-06,37.00572204589844
2016-01-07,36.148284912109375
2016-01-08,35.55509567260742
2016-01-11,35.63272476196289
2016-01-12,36.132362365722656
2016-01-13,34.86287307739258
2016-01-14,35.567535400390625
2016-01-15,34.558815002441406
2016-01-19,34.9240837097168
2016-01-20,34.757869720458984
2016-01-21,35.1629524230957
2016-01-22,36.091552734375
2016-01-25,35.41575241088867
2016-01-26,35.48393249511719
2016-01-27,34.834510803222656
2016-01-28,36.37570571899414
2016-01-29,36.97237777709961
2016-02-01,37.42274475097656
2016-02-02,38.05226516723633
2016-02-03,36.17615509033203
2016-02-04,35.233619689941406
2016-02-05,34.01737976074219
2016-02-08,33.97607421875
2016-02-09,33.745662689208984
2016-02-10,34.04474639892578
2016-02-11,33.994483947753906
2016-02-12,33.95915222167969
2016-02-16,34.387123107910156
2016-02-17,35.25302505493164
2016-02-18,34.70313262939453
2016-02-19,34.88029479980469
2016-02-22,35.1564826965332
2016-02-23,34.628482818603516
2016-02-24,34.8131103515625
2016-02-25,35.12114715576172
2016-02-26,35.087310791015625
2016-02-29,34.72403335571289
2016-03-01,35.77107238769531
2016-03-02,35.7730598449707
2016-03-03,35.45307540893555
2016-03-04,35.37693786621094
2016-03-07,34.59414291381836
2016-03-08,34.53492736816406
2016-03-09,35.09577178955078
2016-03-10,35.47298049926758
2016-03-11,36.16968536376953
2016-03-14,36.352317810058594
2016-03-15,36.24482345581055
2016-03-16,36.63099670410156
2016-03-17,36.7150993347168
2016-03-18,36.706146240234375
2016-03-21,36.92958450317383
2016-03-22,36.86289978027344
2016-03-23,36.729034423828125
2016-03-24,36.5916862487793
2016-03-28,36.50360107421875
2016-03-29,37.062950134277344
2016-03-30,37.34959411621094
2016-03-31,37.0719108581543
2016-04-01,37.31874084472656
2016-04-04,37.088829040527344
2016-04-05,36.71609878540039
2016-04-06,37.108734130859375
2016-04-07,36.83951187133789
2016-04-08,36.78327941894531
2016-04-11,36.63149642944336
2016-04-12,36.979347229003906
2016-04-13,37.4088134765625
2016-04-14,37.48246383666992
2016-04-15,37.77109909057617
2016-04-18,38.149803161621094
2016-04-19,37.518795013427734
2016-04-20,37.45608901977539
2016-04-21,37.7780647277832
2016-04-22,35.76907730102539
2016-04-25,35.98704528808594
2016-04-26,35.240089416503906
2016-04-27,35.12562942504883
2016-04-28,34.38812255859375
2016-04-29,34.487152099609375
2016-05-02,34.74592590332031
2016-05-03,34.45480728149414
2016-05-04,34.62101364135742
2016-05-05,34.906166076660156
2016-05-06,35.38838195800781
2016-05-09,35.476966857910156
2016-05-10,35.98854446411133
2016-05-11,35.59590148925781
2016-05-12,35.497371673583984
2016-05-13,35.37395095825195
2016-05-16,35.655616760253906
2016-05-17,35.14503479003906
2016-05-18,35.16494369506836
2016-05-19,34.850929260253906
2016-05-20,35.31970977783203
2016-05-23,35.0460090637207
2016-05-24,35.834774017333984
2016-05-25,36.092552185058594
2016-05-26,36.03532409667969
2016-05-27,36.46030807495117
2016-05-31,36.612586975097656
2016-06-01,36.534454345703125
2016-06-02,36.347843170166016
2016-06-03,35.94673538208008
2016-06-06,35.65860366821289
2016-06-07,35.66358184814453
2016-06-08,36.242340087890625
2016-06-09,36.25727081298828
2016-06-10,35.800933837890625
2016-06-13,35.748680114746094
2016-06-14,35.74420166015625
2016-06-15,35.77654266357422
2016-06-16,35.350563049316406
2016-06-17,34.42295455932617
2016-06-20,34.52199172973633
2016-06-21,34.632965087890625
2016-06-22,34.70860290527344
2016-06-23,34.928062438964844
2016-06-24,33.60184860229492
2016-06-27,33.25548553466797
2016-06-28,33.84170913696289
2016-06-29,34.044254302978516
2016-06-30,34.44186782836914
2016-07-01,34.79568862915039
2016-07-05,34.58369445800781
2016-07-06,34.72403335571289
2016-07-07,34.604095458984375
2016-07-08,35.11518096923828
2016-07-11,35.5859489440918
2016-07-12,35.862144470214844
2016-07-13,35.68000411987305
2016-07-14,35.877567291259766
2016-07-15,35.82282257080078
2016-07-18,36.51604080200195
2016-07-19,36.67428970336914
2016-07-20,36.884796142578125
2016-07-21,36.75740051269531
2016-07-22,36.96193313598633
2016-07-25,36.81413269042969
2016-07-26,36.746952056884766
2016-07-27,36.91366195678711
2016-07-28,37.11968231201172
2016-07-29,38.2582893371582
2016-08-01,38.46182632446289
2016-08-02,38.37175369262695
2016-08-03,38.47675704956055
2016-08-04,38.398624420166016
2016-08-05,38.9266242980957
2016-08-08,38.90373611450195
2016-08-09,39.02814865112305
2016-08-10,39.04904556274414
2016-08-11,39.0575065612793
2016-08-12,38.97639083862305
2016-08-15,38.93757629394531
2016-08-16,38.67382049560547
2016-08-17,38.81167221069336
2016-08-18,38.69173812866211
2016-08-19,38.58823013305664
2016-08-22,38.42549514770508
2016-08-23,38.42201232910156
2016-08-24,38.30058670043945
2016-08-25,38.289146423339844
2016-08-26,38.295616149902344
2016-08-29,38.42549514770508
2016-08-30,38.273223876953125
2016-08-31,38.17170333862305
2016-09-01,38.257789611816406
2016-09-02,38.39115905761719
2016-09-06,38.820133209228516
2016-09-07,38.83356857299805
2016-09-08,38.583251953125
2016-09-09,37.80394744873047
2016-09-12,38.26974105834961
2016-09-13,37.80543518066406
2016-09-14,37.94477844238281
2016-09-15,38.40609359741211
2016-09-16,38.26277160644531
2016-09-19,38.10451889038086
2016-09-20,38.388671875
2016-09-21,38.62804412841797
2016-09-22,39.174949645996094
2016-09-23,39.15951919555664
2016-09-26,38.52801513671875
2016-09-27,38.965938568115234
